,assessor_neighborhood,closed_roll_year,home_size1,rent,rent/sf
338,Lake Shore,2016,1631.5,1235788.4975225085,757.0
339,Lakeside,2007,1829.5,1463542.5099897103,800.0
340,Lakeside,2008,1832.0,1517395.6005749302,828.0
341,Lakeside,2009,1832.0,1499415.9845175222,818.0
342,Lakeside,2010,1834.0,1355237.8555387475,739.0
343,Lakeside,2012,1840.0,1220086.0818410255,663.0
344,Lakeside,2013,1850.0,1472829.5098915035,796.0
345,Lakeside,2014,1856.0,1666318.4130597997,898.0
346,Lakeside,2015,1865.0,1880571.8026610613,1008.0
347,Lakeside,2016,1874.0,2124697.486309868,1134.0
348,Lone Mountain,2007,1525.0,1039134.1987147754,681.0
349,Lone Mountain,2008,1537.0,1081010.8314438765,703.0
350,Lone Mountain,2009,1550.0,1037505.7541828082,669.0
351,Lone Mountain,2010,1568.3333333333335,923006.877624332,589.0
352,Lone Mountain,2011,1575.0,904639.6082081548,574.0
353,Lone Mountain,2012,1575.0,890857.3417612511,566.0
354,Lone Mountain,2013,1579.0,1037841.1233945644,657.0
355,Lone Mountain,2014,1579.5,1201329.1146243208,761.0
356,Lone Mountain,2015,1583.0,1386238.4014484985,876.0
357,Lone Mountain,2016,1597.5,1627706.6563397974,1019.0
358,Lower Pacific Heights,2007,1084.0,872442.704780293,805.0
359,Lower Pacific Heights,2008,1097.3333333333333,910939.1291675356,830.0
360,Lower Pacific Heights,2009,1107.0833333333335,859423.7842787992,776.0
361,Lower Pacific Heights,2010,1117.875,788091.006795782,705.0
362,Lower Pacific Heights,2011,1120.0,777773.5251901974,694.0
363,Lower Pacific Heights,2012,1120.0,739078.1567934202,660.0
364,Lower Pacific Heights,2013,1147.75,876372.4099051025,764.0
365,Lower Pacific Heights,2014,1164.0,1016640.0569027406,873.0
366,Lower Pacific Heights,2015,1173.0,1171696.5788891157,999.0
367,Lower Pacific Heights,2016,1180.0,1363263.913004709,1155.0
368,Marina,2007,1480.0,1342045.3475772091,907.0
369,Marina,2008,1490.25,1415865.479722501,950.0
370,Marina,2009,1495.0,1370940.8802286896,917.0
371,Marina,2010,1500.0,1235901.3883768,824.0
372,Marina,2011,1500.0,1227211.9954471486,818.0
373,Marina,2012,1500.0,1127559.1653333844,752.0
374,Marina,2013,1515.0,1312399.7144929103,866.0
375,Marina,2014,1523.0,1513853.6521146689,994.0
376,Marina,2015,1525.0,1803326.297870218,1183.0
377,Marina,2016,1545.0,2024842.0206151884,1311.0
378,Merced Heights,2007,1187.0,,682.6351351351351
379,Merced Heights,2008,1187.5,,693.1891891891892
380,Merced Heights,2009,1188.0,,631.6486486486486
381,Merced Heights,2010,1188.0,,559.0131578947369
382,Merced Heights,2011,1196.0,,544.9166666666666
383,Merced Heights,2012,1198.5,,517.9078947368421
384,Merced Heights,2013,1200.0,,587.5194805194806
385,Merced Heights,2014,1200.0,949120.931285135,791.0
386,Merced Heights,2015,1213.0,1057874.2104757174,872.0
387,Merced Heights,2016,1214.0,1074530.3832039223,885.0
388,Merced Manor,2007,2250.0,1108729.163134629,493.0
389,Merced Manor,2008,2250.0,1157388.3488235928,514.0
390,Merced Manor,2009,2250.0,1056300.998655592,469.0
391,Merced Manor,2010,2257.5,977976.4409868164,433.0
392,Merced Manor,2012,2272.5,883943.1283380411,389.0
393,Merced Manor,2013,2283.0,1018608.5549222576,446.0
394,Merced Manor,2014,2284.0,1152899.5073931254,505.0
395,Merced Manor,2015,2285.0,1291132.0593652984,565.0
396,Merced Manor,2016,2308.0,1424186.4776594692,617.0
397,Midtown Terrace,2007,1186.5,976721.185094296,823.0
398,Midtown Terrace,2008,1191.0,1007121.636659366,846.0
399,Midtown Terrace,2009,1200.0,899595.0062461238,750.0
400,Midtown Terrace,2010,1200.0,835203.0770991336,696.0
401,Midtown Terrace,2011,1203.5,846360.6164092389,703.0
402,Midtown Terrace,2012,1206.0,804627.9339279067,667.0
403,Midtown Terrace,2013,1237.0,901693.4916721452,729.0
404,Midtown Terrace,2014,1200.0,991853.002397142,827.0
405,Midtown Terrace,2015,1207.5,1117731.613512558,926.0
406,Midtown Terrace,2016,1213.0,1271631.4136315675,1048.0
407,Miraloma Park,2007,1333.0,945930.359966944,710.0
408,Miraloma Park,2008,1336.0,987556.9427432008,739.0
409,Miraloma Park,2009,1318.0,906170.0115279298,688.0
410,Miraloma Park,2010,1320.0,839713.8672249663,636.0
411,Miraloma Park,2011,1325.0,822350.4083855533,621.0
412,Miraloma Park,2012,1325.0,782018.4014703879,590.0
413,Miraloma Park,2013,1326.5,922688.8695340658,696.0
414,Miraloma Park,2014,1336.0,1046662.5920960284,783.0
415,Miraloma Park,2015,1345.0,1145352.2687206657,852.0
416,Miraloma Park,2016,1350.0,1295739.5814507192,960.0
417,Mission Bay,2007,inf,,682.6351351351351
418,Mission Bay,2008,inf,,693.1891891891892
419,Mission Bay,2009,inf,,631.6486486486486
420,Mission Bay,2010,inf,769289.4169161384,0.0
421,Mission Bay,2011,inf,754794.8838898591,0.0
422,Mission Bay,2012,inf,721888.9059725559,0.0
423,Mission Bay,2013,inf,832879.1797184934,0.0
424,Mission Bay,2014,inf,976874.9479464638,0.0
425,Mission Bay,2015,inf,1067322.915518497,0.0
426,Mission Bay,2016,inf,1190751.183302826,0.0
427,Mission Dolores,2007,1150.0,658063.1035390203,572.0
428,Mission Dolores,2008,1175.0,705940.4170698015,601.0
429,Mission Dolores,2009,1185.0,644173.7825803249,544.0
430,Mission Dolores,2010,1198.75,605981.4317130948,506.0
431,Mission Dolores,2011,1202.5,606294.1909579841,504.0
432,Mission Dolores,2012,1203.0,593660.8765694326,493.0
433,Mission Dolores,2013,1230.0,719273.131398734,585.0
434,Mission Dolores,2014,1247.0,867425.7146221185,696.0
435,Mission Dolores,2015,1300.0,1013879.5696698528,780.0
436,Mission Dolores,2016,1325.8333333333335,1165694.1674460403,879.0
437,Mission Terrace,2007,1250.0,804492.9447206202,644.0
438,Mission Terrace,2008,1250.0,798897.919882839,639.0
439,Mission Terrace,2009,1255.0,699824.9190203027,558.0
440,Mission Terrace,2010,1260.0,608003.713797084,483.0
441,Mission Terrace,2011,1270.0,621378.4061798359,489.0
442,Mission Terrace,2012,1270.0,579709.6472194786,456.0
443,Mission Terrace,2013,1275.0,685689.8634772928,538.0
444,Mission Terrace,2014,1279.0,796335.4793449581,623.0
445,Mission Terrace,2015,1280.0,888116.7120893527,694.0
446,Mission Terrace,2016,1284.5,1030853.8965471416,803.0
447,Monterey Heights,2007,2257.0,1850934.2915732083,820.0
448,Monterey Heights,2008,2257.0,1948898.9406506333,863.0
449,Monterey Heights,2009,2277.0,1772060.57707256,778.0
450,Monterey Heights,2010,2277.0,1523562.2081489463,669.0
451,Monterey Heights,2011,2277.0,1565887.362058946,688.0
452,Monterey Heights,2012,2277.0,1470155.8026075838,646.0
453,Monterey Heights,2013,2291.0,1627515.351371189,710.0
454,Monterey Heights,2014,2310.0,1822644.87141197,789.0
455,Monterey Heights,2015,2326.0,2021951.5498426205,869.0
456,Monterey Heights,2016,2330.0,2245639.0210522134,964.0
